ColliderName,Samples,timeDiff,Index,HMD_x,HMD_y,HMD_z
Building_213,1,0.01289510726928711,39396,-179.64320373535156,1.0823674201965332,-156.8985595703125
TaskBuilding_48,137,2.006814479827881,39397,-183.2745819091797,1.206819772720337,-154.98709106445312
NoHit,1,0.015376567840576172,39398,-184.0668182373047,1.2240972518920898,-154.57199096679688
NoHouse,12,0.18451237678527832,39399,-184.06443786621094,1.2219855785369873,-154.58204650878906
Building_215,1,0.015375375747680664,39400,-184.06138610839844,1.2219796180725098,-154.58990478515625
NoHit,18,0.2782554626464844,39401,-184.37564086914062,1.2313436269760132,-154.3883056640625
Building_215,2,0.028274059295654297,39402,-184.76777648925784,1.2574466466903687,-154.16400146484375
NoHouse,11,0.16715145111083984,39403,-184.9472198486328,1.2437825202941897,-154.07513427734375
Building_220,28,0.41911911964416504,39404,-185.83628845214844,1.2594873905181887,-153.73973083496094
Building_216,1,0.015870332717895508,39405,-186.4335174560547,1.2720580101013184,-153.5374755859375
Building_215,64,0.9543037414550781,39406,-188.53529357910156,1.337127685546875,-152.79177856445312
NoHouse,10,0.15276765823364258,39407,-190.4971923828125,1.4149049520492554,-152.03358459472656
Building_220,46,0.7449922561645508,39408,-192.2745819091797,1.4556794166564941,-151.46864318847656
NoHouse,9,0.13292717933654785,39409,-194.11805725097656,1.5048229694366455,-151.03439331054688
Building_216,20,0.2762718200683594,39410,-195.07102966308594,1.5321598052978516,-150.79331970214844
Building_215,18,0.28867244720458984,39411,-196.28370666503906,1.5582880973815918,-150.38641357421875
NoHit,3,0.04464006423950195,39412,-196.8610382080078,1.5662412643432615,-150.13494873046875
NoHouse,5,0.07985544204711914,39413,-197.1509246826172,1.5695810317993164,-149.99954223632812
TaskBuilding_8,1,0.022320032119750977,39414,-197.3223419189453,1.5717666149139404,-149.91659545898438
NoHouse,1,0.02182292938232422,39415,-197.39073181152344,1.5725955963134766,-149.88302612304688
Building_207,5,0.09969735145568848,39416,-197.4940643310547,1.573822259902954,-149.83175659179688
NoHouse,1,0.011407613754272461,39417,-197.5947723388672,1.57558274269104,-149.78073120117188
Building_207,1,0.011407852172851562,39418,-197.6606292724609,1.5767111778259275,-149.74700927734375
NoHouse,8,0.15326380729675293,39419,-197.9010467529297,1.580148696899414,-149.62225341796875
Building_211,22,0.39977550506591797,39420,-198.70657348632812,1.5966112613677979,-149.18507385253906
NoHit,2,0.03372788429260254,39421,-199.31869506835938,1.6123969554901123,-148.83258056640625
Building_210,21,0.3343045711517334,39422,-199.76942443847656,1.6285538673400881,-148.580322265625
NoHouse,12,0.1775672435760498,39423,-200.37493896484375,1.638418197631836,-148.28054809570312
Building_213,1,0.011407613754272461,39424,-200.5584259033203,1.6440596580505369,-148.18768310546875
NoHouse,21,0.37795257568359375,39425,-200.9514312744141,1.6571130752563477,-147.97634887695312
Building_213,2,0.03372836112976074,39426,-201.39497375488284,1.6792937517166138,-147.70066833496094
NoHouse,100,1.587693691253662,39427,-203.20108032226562,1.7288644313812256,-145.96678161621094
Building_216,23,0.3665444850921631,39428,-205.4692230224609,1.8040084838867188,-144.55197143554688
Building_217,24,0.411679744720459,39429,-206.52711486816406,1.8326287269592285,-144.34310913085938
Building_216,40,0.6651358604431152,39430,-208.12652587890625,1.869480967521667,-144.08718872070312
NoHouse,41,0.6884467601776123,39431,-210.02232360839844,1.9168250560760496,-143.7144775390625
Building_216,1,0.011408090591430664,39432,-211.0532073974609,1.952584743499756,-143.50686645507812
NoHouse,14,0.23212766647338867,39433,-211.4755096435547,1.9680042266845705,-143.4241485595703
Castle-TaskBuilding_56,1,0.02182459831237793,39434,-211.7931365966797,1.9788255691528318,-143.36029052734375
NoHouse,1,0.011408567428588867,39435,-211.8643341064453,1.9810028076171875,-143.34573364257812
Castle-TaskBuilding_56,2,0.03323101997375488,39436,-211.93617248535156,1.9826310873031616,-143.33053588867188
NoHouse,2,0.03323221206665039,39437,-212.02552795410156,1.9836887121200562,-143.3123779296875
Castle-TaskBuilding_56,1,0.021823883056640625,39438,-212.0788116455078,1.9840826988220213,-143.30157470703125
NoHouse,3,0.04464006423950195,39439,-212.1501922607422,1.9846036434173584,-143.2867431640625
Castle-TaskBuilding_56,1,0.010911703109741211,39440,-212.2216644287109,1.9849491119384768,-143.2720947265625
